duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
37,tcp,ftp_data,REJ,27401,35108,0,0,1,25,4,0,8,0,1,11,3,2,4,0,0,1,415,51,0.973,0.805,0.489,0.939,0.056,0.911,0.845,149,86,0.409,0.078,0.258,0.809,0.022,0.663,0.588,0.624
471,tcp,smtp,RSTR,5246,15300,1,2,1,10,0,1,13,1,1,8,3,1,4,0,0,1,481,224,0.305,0.478,0.183,0.429,0.159,0.8,0.12,194,164,0.632,0.917,0.763,0.555,0.83,0.75,0.98,0.007
387,icmp,private,S0,3414,7345,0,3,2,25,3,0,3,0,0,4,8,0,1,0,0,0,496,1,0.706,0.986,0.24,0.395,0.902,0.531,0.317,30,36,0.925,0.27,0.649,0.013,0.178,0.968,0.068,0.899
410,udp,private,S0,6778,9781,0,2,3,22,1,1,0,0,0,3,8,1,0,0,0,0,308,362,0.888,0.934,0.824,0.242,0.031,0.258,0.336,83,94,0.362,0.024,0.838,0.824,0.233,0.435,0.308,0.102
409,icmp,domain_u,SF,50303,56438,0,2,2,3,1,1,13,1,1,8,4,2,1,0,0,1,372,197,0.118,0.144,0.775,0.363,0.749,0.145,0.157,207,114,0.835,0.675,0.823,0.269,0.517,0.662,0.879,0.208
41,icmp,ftp_data,S1,11482,27731,1,3,0,12,5,1,3,0,0,1,7,2,4,0,0,1,40,458,0.021,0.147,0.911,0.104,0.68,0.185,0.58,152,112,0.583,0.632,0.81,0.446,0.579,0.257,0.112,0.478
95,udp,private,S0,59582,51373,1,3,3,13,1,1,15,0,1,13,2,0,1,0,0,0,510,307,0.842,0.838,0.921,0.098,0.441,0.249,0.877,143,201,0.821,0.947,0.033,0.946,0.961,0.726,0.144,0.243
276,udp,private,SF,57145,57841,0,3,1,6,0,0,14,0,1,12,8,2,0,0,0,0,399,350,0.01,0.788,0.761,0.759,0.257,0.893,0.434,183,13,0.882,0.804,0.201,0.801,0.572,0.42,0.453,0.598
63,icmp,private,S0,10977,27191,0,1,0,14,5,1,7,0,0,15,1,2,4,0,0,0,388,449,0.842,0.823,0.698,0.73,0.302,0.836,0.553,158,201,0.608,0.3,0.901,0.889,0.284,0.61,0.449,0.024
324,tcp,eco_i,SF,9587,6785,0,1,2,20,3,1,0,0,0,13,7,2,0,0,0,1,105,312,0.339,0.401,0.739,0.224,0.842,0.848,0.809,248,121,0.756,0.794,0.542,0.966,0.05,0.962,0.767,0.559
194,udp,ftp_data,REJ,5260,14457,1,3,1,13,4,0,6,1,1,14,6,0,0,0,0,1,396,39,0.083,0.96,0.1,0.841,0.939,0.589,0.01,180,26,0.134,0.405,0.011,0.318,0.158,0.269,0.552,0.016
380,tcp,ftp_data,S0,26040,24531,0,3,2,24,4,0,6,1,1,3,3,1,3,0,0,1,209,378,0.953,0.693,0.977,0.559,0.161,0.286,0.074,183,198,0.807,0.411,0.423,0.937,0.922,0.612,0.525,0.605
221,udp,eco_i,SF,33415,47981,0,2,0,20,0,0,13,1,1,10,8,1,3,0,0,0,434,453,0.777,0.353,0.639,0.938,0.009,0.275,0.046,203,32,0.714,0.282,0.92,0.38,0.724,0.272,0.951,0.227
408,udp,smtp,SF,51333,36059,1,2,0,8,4,0,6,1,0,4,5,1,4,0,0,1,51,6,0.707,0.47,0.29,0.538,0.339,0.896,0.768,131,229,0.128,0.696,0.794,0.827,0.06,0.457,0.561,0.231
436,tcp,private,S0,50491,4818,0,3,2,3,2,0,14,1,1,15,5,2,3,0,0,1,460,343,0.866,0.875,0.179,0.105,0.87,0.508,0.29,37,252,0.875,0.508,0.919,0.782,0.598,0.097,0.653,0.861
51,udp,ftp_data,S1,12621,28257,0,1,3,17,3,0,14,1,1,10,1,0,1,0,0,0,225,301,0.741,0.746,0.153,0.812,0.241,0.408,0.205,148,219,0.002,0.001,0.219,0.31,0.739,0.141,0.292,0.298
97,icmp,ftp_data,RSTR,47465,9446,0,3,0,6,2,0,0,1,0,12,10,2,2,0,0,1,44,487,0.896,0.196,0.46,0.266,0.605,0.64,0.039,233,79,0.956,0.186,0.939,0.091,0.501,0.04,0.88,0.567
494,tcp,ftp_data,S0,48047,50542,1,3,2,0,0,0,4,0,1,7,3,2,0,0,0,0,386,40,0.602,0.928,0.69,0.74,0.717,0.807,0.6,160,220,0.143,0.513,0.86,0.13,0.039,0.358,0.024,0.353
193,icmp,ftp_data,REJ,12203,27282,0,1,1,4,0,1,5,0,0,12,2,0,3,0,0,0,369,9,0.004,0.454,0.349,0.287,0.752,0.94,0.311,86,63,0.539,0.287,0.433,0.331,0.147,0.057,0.106,0.751
368,icmp,domain_u,RSTR,40042,23189,0,0,3,5,5,1,6,1,0,15,8,2,4,0,0,0,377,34,0.042,0.117,0.077,0.175,0.757,0.12,0.873,253,129,0.11,0.554,0.778,0.958,0.706,0.351,0.149,0.15
240,icmp,eco_i,RSTR,46652,6358,1,3,2,14,0,0,18,0,0,19,6,1,1,0,0,0,170,94,0.279,0.576,0.226,0.535,0.848,0.133,0.857,104,255,0.081,0.082,0.202,0.832,0.91,0.876,0.615,0.377
496,tcp,ftp_data,REJ,26344,10173,1,3,0,19,4,0,11,1,0,11,6,2,1,0,0,1,414,5,0.044,0.151,0.345,0.158,0.532,0.742,0.568,101,251,0.187,0.426,0.203,0.227,0.351,0.72,0.213,0.52
91,tcp,smtp,REJ,41001,22955,0,3,3,23,2,0,8,1,1,6,2,1,2,0,0,1,105,285,0.131,0.02,0.451,0.954,0.191,0.376,0.186,217,205,0.911,0.852,0.597,0.579,0.91,0.908,0.363,0.908
202,icmp,private,SF,47072,13314,0,3,0,12,5,1,3,0,1,4,8,1,2,0,0,1,316,509,0.555,0.201,0.274,0.79,0.713,0.632,0.818,46,55,0.029,0.535,0.667,0.9,0.882,0.366,0.617,0.558
133,tcp,private,S0,25349,26074,1,0,2,22,2,1,10,0,0,8,3,1,3,0,0,1,478,380,0.997,0.887,0.762,0.111,0.608,0.002,0.353,221,66,0.777,0.862,0.305,0.228,0.298,0.357,0.228,0.868
406,udp,private,RSTR,44797,12214,1,3,1,12,2,1,12,0,1,12,10,0,4,0,0,0,3,288,0.322,0.818,0.394,0.504,0.01,0.803,0.582,190,131,0.584,0.275,0.598,0.395,0.064,0.668,0.288,0.267
376,udp,private,S0,34875,38819,1,3,2,18,4,1,8,1,0,12,7,2,4,0,0,0,411,321,0.992,0.932,0.267,0.679,0.932,0.295,0.352,152,153,0.151,0.547,0.345,0.75,0.713,0.671,0.664,0.896
197,tcp,private,RSTR,31123,55626,0,1,0,1,5,1,2,0,1,4,4,0,3,0,0,1,193,350,0.75,0.185,0.395,0.181,0.384,0.75,0.797,243,174,0.207,0.003,0.365,0.22,0.007,0.086,0.803,0.176
84,udp,private,S0,15272,2665,1,0,2,16,4,0,10,0,1,2,3,0,1,0,0,1,308,351,0.462,0.128,0.202,0.964,0.758,0.694,0.873,54,21,0.306,0.087,0.975,0.054,0.474,0.648,0.728,0.038
44,tcp,private,SF,38853,28680,0,1,2,24,3,0,6,1,1,1,6,2,1,0,0,1,484,106,0.424,0.919,0.473,0.474,0.041,0.602,0.544,122,13,0.248,0.039,0.703,0.119,0.084,0.666,0.49,0.457
334,tcp,eco_i,S1,48532,53198,0,2,3,12,2,0,19,0,1,8,0,1,3,0,0,0,191,438,0.842,0.225,0.005,0.412,0.523,0.222,0.294,20,7,0.876,0.439,0.662,0.147,0.274,0.967,0.767,0.752
110,tcp,smtp,RSTR,57914,3659,1,1,2,25,1,0,15,1,0,6,6,2,0,0,0,0,466,340,0.212,0.78,0.568,0.657,0.576,0.278,0.386,1,180,0.005,0.478,0.652,0.109,0.757,0.867,0.328,0.455
167,tcp,smtp,SF,435,32592,0,0,1,12,4,1,4,0,1,13,8,1,1,0,0,0,210,127,0.035,0.086,0.848,0.513,0.96,0.015,0.657,251,180,0.523,0.56,0.65,0.84,0.851,0.725,0.919,0.146
99,icmp,private,S0,30130,16598,1,3,1,13,3,0,9,0,1,1,8,2,3,0,0,0,448,423,0.981,0.822,0.256,0.244,0.692,0.155,0.005,5,251,0.528,0.755,0.509,0.857,0.213,0.283,0.682,0.776
487,icmp,private,S0,32481,22171,1,0,0,4,4,0,8,1,1,5,6,0,4,0,0,1,431,508,0.821,0.823,0.939,0.18,0.513,0.842,0.596,10,140,0.941,0.617,0.781,0.143,0.832,0.626,0.677,0.958
466,icmp,eco_i,SF,53070,6024,1,0,0,25,4,0,5,1,1,12,1,2,0,0,0,0,269,356,0.689,0.664,0.336,0.206,0.573,0.748,0.301,167,19,0.014,0.684,0.242,0.99,0.312,0.183,0.063,0.998
93,tcp,eco_i,S1,36153,58302,1,1,0,7,0,1,7,0,1,6,0,2,4,0,0,1,379,28,0.08,0.1,0.735,0.701,0.878,0.107,0.77,171,81,0.562,0.755,0.34,0.591,0.275,0.818,0.439,0.538
299,tcp,private,S0,13172,5142,0,3,1,1,1,1,8,0,0,4,3,1,0,0,0,1,335,352,0.859,0.866,0.565,0.675,0.996,0.014,0.699,81,173,0.527,0.409,0.812,0.824,0.419,0.709,0.332,0.65
419,udp,ftp_data,SF,7349,16793,1,0,3,18,2,0,1,1,1,2,2,0,1,0,0,1,86,225,0.361,0.829,0.863,0.759,0.791,0.139,0.819,216,76,0.506,0.642,0.866,0.204,0.997,0.185,0.148,0.474
446,udp,private,SF,3488,44648,1,1,3,13,5,0,7,0,0,13,7,1,1,0,0,0,363,258,0.004,0.388,0.56,0.687,0.482,0.503,0.537,181,156,0.419,0.12,0.76,0.048,0.32,0.209,0.209,0.604
32,udp,smtp,S0,25589,31559,0,2,3,13,3,0,7,0,1,4,8,2,0,0,0,1,376,245,0.857,0.728,0.714,0.187,0.28,0.134,0.645,216,187,0.759,0.668,0.369,0.181,0.356,0.254,0.382,0.387
291,udp,ftp_data,S0,23530,51700,0,3,2,16,5,0,9,0,0,5,10,1,3,0,0,0,108,129,0.287,0.125,0.541,0.443,0.838,0.64,0.809,102,93,0.287,0.602,1.0,0.159,0.795,0.486,0.683,0.731
0,tcp,ftp_data,SF,16093,13815,1,1,1,24,3,1,2,0,1,7,1,1,4,0,0,0,368,246,0.122,0.117,0.884,0.533,0.788,0.093,0.101,142,200,0.664,0.369,0.545,0.8,0.967,0.672,0.501,0.33
