duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
125,tcp,private,S0,14628,9144,0,0,3,1,0,0,6,0,0,6,10,2,4,0,0,1,396,320,0.91,0.966,0.006,0.806,0.698,0.34,0.155,246,196,0.337,0.093,0.097,0.847,0.604,0.807,0.73,0.536,neptune
360,udp,smtp,S0,4558,3003,0,2,0,7,0,1,8,1,1,5,5,1,1,0,0,1,360,480,0.01,0.137,0.635,0.534,0.827,0.144,0.27,237,164,0.688,0.22,0.324,0.768,0.056,0.822,0.805,0.401,normal
73,udp,domain_u,RSTR,17359,9150,0,2,3,18,3,1,7,0,1,2,0,0,1,0,0,0,406,349,0.143,0.131,0.382,0.996,0.705,0.1,0.861,3,175,0.721,0.682,0.537,0.267,0.641,0.112,0.435,0.454,normal
430,tcp,eco_i,REJ,41874,33270,0,1,2,24,1,1,10,1,0,3,5,1,1,0,0,0,124,450,0.107,0.06,0.732,0.816,0.869,0.075,0.126,169,122,0.947,0.165,0.528,0.607,0.964,0.929,0.755,0.69,normal
115,udp,ftp_data,S0,4196,22156,0,1,1,0,0,0,7,0,0,10,1,2,1,0,0,1,343,249,0.214,0.132,0.266,0.571,0.473,0.864,0.78,49,25,0.097,0.431,0.424,0.467,0.729,0.673,0.984,0.098,satan
216,icmp,domain_u,S0,12025,18254,1,1,0,14,4,1,1,0,0,7,2,1,3,0,0,1,110,443,0.081,0.112,0.379,0.985,0.623,0.117,0.455,109,179,0.957,0.995,0.556,0.718,0.155,0.297,0.969,0.579,normal
491,icmp,ftp_data,SF,33281,5250,0,0,0,21,1,1,3,0,0,2,6,2,4,0,0,1,479,134,0.132,0.132,0.239,0.396,0.748,0.032,0.316,193,240,0.073,0.458,0.998,0.996,0.073,0.213,0.265,0.933,normal
413,icmp,eco_i,S1,42858,34664,0,2,0,4,2,0,3,0,1,9,9,0,2,0,0,0,352,325,0.853,0.505,0.701,0.908,0.051,0.952,0.627,12,1,0.334,0.131,0.98,0.162,0.442,0.706,0.561,0.112,satan
21,tcp,domain_u,S0,20202,23897,0,2,1,21,1,1,11,1,0,7,2,0,3,0,0,0,92,378,0.033,0.099,0.412,0.67,0.759,0.056,0.159,180,28,0.383,0.039,0.471,0.2,0.918,0.35,0.821,0.871,normal
204,udp,private,S1,44532,55290,1,0,0,8,1,1,1,0,1,11,5,1,4,0,0,0,198,461,0.045,0.046,0.709,0.002,0.763,0.08,0.719,190,189,0.671,0.364,0.07,0.664,0.33,0.314,0.848,0.72,normal
340,tcp,ftp_data,RSTR,24847,44388,0,2,3,17,0,1,9,0,1,10,7,1,3,0,0,0,262,243,0.115,0.068,0.736,0.659,0.954,0.115,0.619,24,210,0.952,0.235,0.31,0.807,0.147,0.046,0.984,0.611,normal
124,udp,private,S0,9671,42995,0,0,3,7,1,1,1,0,0,14,2,1,4,0,0,1,319,482,0.857,0.854,0.719,0.505,0.831,0.548,0.897,191,221,0.475,0.259,0.247,0.638,0.766,0.521,0.627,0.275,neptune
77,icmp,http,S0,15155,25102,0,1,0,13,3,1,14,1,0,6,6,1,4,0,0,0,439,451,0.102,0.061,0.006,0.352,0.666,0.093,0.953,108,138,0.748,0.546,0.603,0.221,0.219,0.436,0.029,0.336,normal
464,icmp,smtp,SF,25822,38790,0,0,3,4,3,1,1,1,1,10,3,1,2,0,0,1,390,451,0.036,0.071,0.832,0.252,0.646,0.19,0.539,244,90,0.224,0.069,0.957,0.04,0.031,0.247,0.839,0.621,normal
310,udp,private,S0,39796,49016,0,1,2,3,4,1,9,1,1,6,1,2,1,0,0,0,357,396,0.069,0.023,0.806,0.796,0.67,0.104,0.533,170,95,0.069,0.648,0.013,0.42,0.49,0.434,0.362,0.892,normal
238,icmp,private,S0,28545,54115,1,2,1,2,2,1,7,1,1,10,0,1,2,0,0,0,375,356,0.881,0.849,0.28,0.596,0.88,0.556,0.517,49,22,0.241,0.406,0.555,0.24,0.476,0.712,0.448,0.017,neptune
271,udp,private,S0,22528,27885,1,2,3,8,2,1,7,0,0,10,1,2,4,0,0,0,463,492,0.898,0.975,0.59,0.76,0.597,0.981,0.833,76,59,0.361,0.302,0.708,0.127,0.046,0.055,0.292,0.944,neptune
